title_lemmatized,text_lemmatized,rating
bad,i d like creamy nice color size go smooth bad well great price,3.0
quality,love value quality second time order item,5.0
brush set good,work great,4.0
product good mama like,long mom like product good,5.0
great product,work perfect cleans hair do not leave powder residue easy wash,5.0
good buy cost,worth price sure serve purpose lightweight careful do not dump powder that s accidentally heavy hand like lol simple effective worth low price pay,4.0
norelco arcitec one thousand and fifty,I ve norelco shaver thirty year good shaver I ve norelco one thousand and fifty one month like well predecesor april two thousand and eleven update new blade satisfy three year recommend,5.0
useless,fogs waste money,1.0
super cute fun,pretty adorable holiday ear large head lol ton curly hair band fit head end rest ear like eye glass rest dig temple big two year old seven year old trouble bit glue building material inspect closely minni ear pair disney park,4.0
fall apart immediately,terrible quality,1.0
star,decent product work expect daughter love,4.0
horrible smell soak two day strong cleanser,horrible smell soak two day strong cleanser smell,1.0
can not beat price,review state coap super thick clumpy work can not beat price,4.0
nice weight,nice weight handle bit thick like safety guard leave good space you re protect they re room razor close good product overall,4.0
disappoint,barely do not fill like describe,2.0
great lash,get product pretty fast mascara total two gel two fiber job careful apply especially fiber apply gel fiber stay lash fall eye,4.0
star,happy find,5.0
good nice performance ballet bun,good perfect bun,4.0
miss piece,super excited product miss piece miss hair tie secure happy hair tie,1.0
meh,going know expect product consider price palette look like picture flaky color mix color actually look muddy surprised fast palette arrive good pallet start makeup be not pay,3.0
cut fit,i d consider paw size medium be not happy squeeze paw tight space clean cut half bristle easily fit dog paw rub paws bristle work okay mud stick paw need towel finish clean,3.0
good makeup,nice great,4.0
indication box etc ultrasonic indicate description,question description ultrasonic,3.0
star,good quality use go straight garbage,1.0
big,headband big head,3.0
good product,great productreally good skin satisfy good experience purchase coconut milk body scrub shipping fast expect good job packaging,4.0
good buy,perfect occasion exactly need daughter birthday party month later play time have not break three say lol,5.0
reason I m give one star smell nice,box arrive crush rip apart open product leave hair extremely greasy do not provide hold reason I m give one star smell nice,2.0
long hair maybe child,product description suitable long hair mislead shower cap pretty small head certainly long hair have not throw away packaging return waste,1.0
two able away,product help hair place,5.0
daughter luv effect colored hair,buy gift daughter obsess have colored hair quality awesome girl absolutely love super recomend bow,5.0
advertise shampoo set,buy deposit color graywhite hair do not work,1.0
beautiful strong,finally find beautiful good quality hair clip thank,5.0
work properly,large piece roll get hung stay place,1.0
star,nice,5.0
natural looking return,look close natural,1.0
difficult remove gel,do not remove gel quick step process use tool like file scrapper gel,2.0
buy,beautiful package I m obsess lash,5.0
,regular,2.0
star,horrible curve tweezer bent break piece two use must ve weld,1.0
do not waste ur money like,suction cup literally suction what s point,1.0
little product tube,think send tube little product tube compare tart shape tape trial size buy ulta pay xtra buy trial size sample ulta pleased product,4.0
definitely well oldschool sunless tanner,positive streak unsightly orangey spot noticeable color one use smell like peach tea lessbad oldschool tanner need use twenty - four day maintain color can not imagine daily use negative smell stays stays stay clothe damp heavy feel skin like soak prefer light barelythere moisturizer end day wipe yelloworange skin damp washcloth ill stick nextgen sunless tanner come guess away smell hard manufacturer eight hour tired smelling,4.0
star,impressed purchase,1.0
african black soap raw black soap big difference,order soap think african black soap palm oil palm kernel oil water raw black soap water cocoa pod ashe plantain skin ashe palm oil big difference soap dry outside remind commercial pointed question expect dry dry real african black soap come paste type form bar amazing,1.0
know buy,commentator amateur chemist include lady try treat spa search sds product tell h202 concentration jeeze,3.0
barely product five use,balm packaging disappoint container small inside small outside leave little product balm nice ordinary smell like jane scrivner balm nice product worth repurchase heimish cleansing balm well deal,3.0
do not waste money,do not hot want decently straight hair you ll blow dry hour,2.0
great son hair type,like good brush work good son curly hair fine straight hair,3.0
awesome product,whiten pen work great easy use taste great leave tooth noticeably whiter,5.0
great find,skeptical polish remove easy leave minute hard glitter come right rub,5.0
do not fall marketing,look high quality scented castile soap fancy bottle label nice fragrance combination prepare use four time product sudsy result price absurd cost level environmental friendliness meet lack suds ingredient nut shell pay use feel good environmental safety perfectly fine like find happy medium healthy safety good price pointproduct quality balance bronner walgreen brand etc do not,2.0
save money,ok hard use stiff hard tip will not stay,3.0
stop work,product stop work six month twice week like work recommend,1.0
hold,I ve experiment gluefree magneticfree lash enjoy product absolute favorite time write review far yes like formula eyeliner smooth try far strength adhesiveness eyeliner lash super strong slight touch lash eyeliner stick eyeliner water smudge proof take star lash band little bit irritate people small eyelidsmonolid wear lash inner corner eye feel bit irritated band poke skin eventually eye water inner corner eyelash beginning peel feel readjust lash cut portion help issue,4.0
like,buy replace old model norelco trimmer vacuum function cut notice problem height adjustment stay lock select set mention vacuum function definately work find little bit noisy turbo mode complaint complaint like simplicity old model remove hair comb use trimmer head detail work vacuum attachment can not trimmer need remove comb replace trimmer head small trimmer attachment stick past vaccuum catch attachement work little small I m getting work fine wish do not need extra step switch trimmer blade do not care vacuum function want mind trade overall pleased purchase can not beat thirty ship,4.0
good satisfied tossed,like picture feel like baby doll hair purchase purchase seller good,1.0
worth money,useless contraption end junk pile,1.0
great product,excellent product absorb use little leave dryish skin soft,5.0
wanna little glow night,beautiful want add east use place stay place make iphone case,5.0
what s advertise,ok like mustard yellow huge deal dye definitely platinum actual hair lovely soft minimal shed lace nice order eighteen inch row eighteen inch row half length like horrible layering go mention description ridiculously thin pay guess ill salvage worth,3.0
star,love come easy absolutely love,5.0
try week rashrawness cause painful smell favorite,wish would ve work try week rashrawness cause painful smell favorite work people,1.0
good,beard brush bristle fall wood soft beard recommend buy money,1.0
great product,help strengthen weak peel nail locke,5.0
star,nice fit,3.0
,ehh thin flimsy work material look cheap good bulk gift,3.0
deal price,thankfully come extra light bulb light work arrival replacement oddly big original light bulb connector worry investment light bulb die,3.0
work,pick paint literally work wish read review buy,1.0
good product I ve find,good product I ve find I ve literally search decade provide nice definition look greasy fluffy hair gentle natural curl product definitely enhance look little coconut smell overall winner,5.0
scent do not long spray,cologne smell do not long apply,3.0
star,ok,3.0
star,job right box five minute tip break,3.0
pretty,beautiful nail like shape you ll love,4.0
happy product variety scent,deodorant perform happy product variety scent come thing error theirs small expect normal size package product minisize think upsetting product I m happy buy choose specific find large size,4.0
encanto,muy lindo,5.0
great spray bottle,bottle spray nice water output great use scrunch curly hair dry,4.0
ok well,read lot great review decide buy be not impressed hate thick band eyelash I ve shop great eyelash be not want great wispie check eyelure brand,3.0
shed like crazy wish return need,wig shed bad curl cute hair soft,2.0
great little cleanser deep cleaning,great little cleanser deep cleaning love charcoal remove impurity skin dry stop like charcoal cleanser lather nicely little go long way tea tree oil refreshe skin help acne blemish smell nice,5.0
total waste money,extremely thin can not hold curl tangle easily look like doll hair real hair I m sure positive review buy waste money sew cheap u pay,1.0
look,hard find affordable glycerin soap store find swissco soap exactly look heavy scent want smell like watermelon day please purchase likely purchase need,5.0
star,receive show kind mother love use,5.0
do not find difficult wrap hair like review say,hair bite slick fake bun do not find difficult wrap hair like review say hair fine straight difference have time put bun bun helper grip hair hair fast would not recommend purchase like fact do not worry bun helper show match hair,4.0
advertise,perfect advertise,5.0
perfect travel,perfect travel plane lot smell be not well pretty big learning curve good lather,3.0
exactly want,perfect order shower cap use cover piesquiche etc ideal,5.0
inaccurate size description,piece elastic thirty - six 1yard advertised piece thirty - two count have yard color mask tie buyer beware,3.0
good product,good product,4.0
dry hard lather,skin kind dry job cleaning face bit difficult lather,3.0
mouthwash spray bottle yuck,taste awful compare breath freshener brand like binaca,2.0
,grayer expect,3.0
great color,go easy,5.0
transluscent,translucent powder get lovely shimmer straight brown look like I m commit hate crime,1.0
work great,easy use little go long way helps powder brow product place last forever will not buy great use do not color fill brow place sleek look overly shiny,4.0
get present friend,get present friend work design zigzag worth money pay,3.0
eyelash curler,arrive item miss power cord,1.0
like,texture good trap fix hurt sooo muchhhh,2.0
star,great product,5.0
star,small quality product stiff,4.0
acetone,buy listing say alcohol acetone pump bottle acetone get cloudy plastic start feel squishy dump bottle come store believe work fine alcohol definitely acetone bummer,1.0
yuck,scrubber look like toilet bowel brush,1.0
color,unfortunately product receive oxidize dark yellow texture,1.0
love color,love color look like photo stay day feel little dry lip little lip balm can not fix regret,5.0
adorable wish color vibrant,buy baby girl headband bow look adorable buy lot hair accessory girl one wear wish color vibrant baby material stretchy durable headband bows fit head perfectly age eight month old good deal price pack versatile styling,4.0
color,color,1.0
that s overjoy get try cosmetic,beauty product buy category seventy - five fall that s right face mask that s overjoy get try cosmetic mud mask mask amazing draw impurity pore like magnet leave face feel clean renew wonderfully moisturize strip face nutrients experience burn mud mask simply relax apply mineral product I m leave wonder manage price low day use skin feel flawless consistency perfect thick thin moisturize perfectly need extra kick follow moisturizer recommend retinol cream night cream easy clean do not worry huge mess do not know spend money mask need jar magic do not want waste time money spa do not grab tub mask,5.0
perfect way well simply brush,work decently combine brushing tongue perfect way well brush noticeable difference cleanliness tongue prettier sure food taste well perfect good nonetheless come apparatus cleanse tablet nice metal container transport recommend,4.0
work,face feel well,4.0
easy way hair look nice,package come clip clip small clip attach try use year old curly hair fact she s fact curly hair difficult work little big head good thing clip build quality appear okay do not think they ll break look sort cheap thing straight hair clip hair look nice effort clip separate hair interesting way minimal effort look great daughter twenty minute hair start tangle clip sort look like bird nest,4.0
bad reaction,do not know product do not stop sweat long end redness soreness uncomfortable lasted day call doctor call ointment help I ve struggle excess weight sweat groin surgery hope product help do not hour return,1.0
color match perfectly,oily hair hard time keep tape sticky stay day product great,4.0
deliver result rarely wother like product,xxi biopure facial moisturizer pack great skin care ingredient jojoba shea butter aloe vera sunflower seed oil glycerin think vitamin c make exceptional product skin exceptional nice lightweight moisturizer absorb quickly do not cause skin lookfeel oily greasy soften smooth skin fine line thin dry sensitive skin look feels refresh thank vitamin c normally dull skin dewy glow I ve find product able skin xxi dry sensitive skin issue cream xxi works work result like soft smooth skin occur immediately use result long last xxi recommend morning night use day morning small sufficient cover face work deliver great result small need use believe price reasonable find be not right xxi offer thirty day satisfaction guarantee absolutely recommend xxi biopure lotion,5.0
bald spot,daughter doll practice braiding skill bald spot different area poor quality,1.0
smell cheap good,do not smell like versace dylan blue nut similar,4.0
star,love stuff,5.0
great value,basic hair clip pretty asian fabric red plastic work strong,5.0
sit flat,okay,3.0
smell like high school boy,smell like high school boy use body spray leave hair stiff hard manage,2.0
sturdy essential,comb parting breeze,5.0
star,quick charge thought return,1.0
reusable flimsy cosmetic absorb wedge,user review multiple use recommend washing reuse cosmetic absorb wedge flimsy return continue use work apply cosmetic,3.0
do not waste money,actual bundle half show worth local hair store I m return,1.0
light crisp,smell like light fresh crisp scent strong cool,4.0
worth,super tiny break nozzle extremely expensive etc etc etc scam honestly like throw away money,1.0
get hot,handle get hot,4.0
send white clear,I ve try buy product bp limit single time send white clear send,1.0
silicone hard plastic recommend,garbage silicone they re rock hard plastic install frame throw trash,1.0
fun lightweight hair,hair easy install lightweight long eight inch like twelve inch short want,4.0
like mango salt product crumble,like mango salt product crumble penetrate skin I ve buy product majestic pure find quality poor long purchase product,1.0
bad toenail clipper I ve buy,area fit toenail clipper entirely narrow challenge get nail clipper should not youhadonejob take forever clip toenail plus little piece attach shank stay place flop incessantly do not understand good review,1.0
worth money,do not know get badd one time touch chord remote weird feedback do not know figure turn bass way low guess,1.0
value money,far like good buy,4.0
white they re cream,white they re cream,1.0
well,excited try see video youtube tan turn beautifully get lot compliment use pump break instead product mousse leak hard product rub skin oh do not appear patchy pay well formula bottle do not break,2.0
perfect,use wax new easy do not remove tweezer intimate area result amazing far irritation,4.0
good,travel friendly,4.0
good unit,love,4.0
star,concealer trash brush alright,3.0
se seca pronto,esta muy bien pero vino casi seco,3.0
like,electric tooth brush frequency setting user adjust comfortable speed tooth brushing brush soft correct speed massage gum plastic cover cover brush use keep brush clean like,4.0
star,little stiff taste,4.0
expect,purchase recent trip cosmetic toiletry zipper ridiculous tiny feeble black blend trim barely good grip pull dimly light room forget feel extremely annoying zipper thing 5x large maybe different color able zip bag close stuff fill eight oz bottle fit bulky try zip close lie open luggage useless intend two star cute,2.0
bristle little soft,thick curly hair bristle little flimsy look paddle brush fully embed body soft mesh body bodyhandle brush sturdy sure long it ll bristle start get pulled hair thinnormal straight hair sure work,4.0
hair brush,recommend brush bristle fall hard hair scalp handle hard hold brushing adult hand,1.0
okay,okay,4.0
star,plain brush little cheap,1.0
thin material,comfortable wear material super thing like cotton tshirt would not necessarily warm good outdoor workout do not want heavy,3.0
be not break,be not break smell like freshly bake cinnamon roll,5.0
peel,do not work like think,3.0
,could not glue tabs nail roll plastic obviously do not work will not buy,1.0
star,easy use,4.0
great mirror,bright use reader read worried could not perfect,5.0
star,love,5.0
leak,leak pump,1.0
hair straighten easy hold good curl flexi rod,hair soft shed body wave define hair straighten easy hold good curl flexi rod hair super thick doable I m wear vacation long time work overall decent hair price,4.0
star,comment,3.0
highly recommend,amazing product I ve pregnancy lotion turn super smooth oil fragrance free,5.0
exactly describe,order come promptly s describe use watch tv hopefully ill notice jowl look well,4.0
good expect,order product expectation great product find ok case well battery power nose hair trimmer own,3.0
disappoint,arrive broken gift friend arrive break disappointed purchase,1.0
face toner,good acne control product I ve purchase hate u s bad product difficult distribution miracle worker horrible acne month go mean work frustrated product accessible easily love love love product oily skin acne prone school,5.0
do not buy,majority pack incredibly scratch unusable,1.0
disappoint,open package excited could not wait installed get wig instal start notice tangle quickly wet beautiful dry mess wore get tangle pretty death I ve hair reinstall restoration process wig be not would not recommend,2.0
gel blue,arrive gel blue color reach manufacturer confirm suppose gel ask refund pretty disappointing well order boucleme directly,1.0
buy break month,great work unfortunately break month stop suck suck lol,1.0
do not use leak,leak good product,1.0
scent free,like scent free moisturizer work,5.0
work pretty,use flip top little flimsy overall they ve work funnel pretty useless,4.0
ok,mascara okay do not notice big difference making lash long mascara,4.0
beautiful,amazing value money pretty buy,5.0
product make complexion glow health,rarely write review product far I ve want share thought meet andy hnilo dave aspreys bulletproof conference la year love story approach create natural effective product know aim good natural ingredient face feel rejuvenate young can not explain feel young mask time gorgeously supple clay mask use product 3xs week friend tell complexion glow love love love mask can not imagine i d completely trust andy hnilo face closely track alitura product release want use product line face,5.0
suggest,poor quality extremely difficult size nail paint provide way proportion,1.0
great smell,last long time overpower spray like eat love,5.0
nice primer,eye primer eyeshadow work great,5.0
rough,water spew,1.0
do not waste money product,product one star product unsatisfactory sense word waste money,1.0
great strength,small one past strength make size hair extremely thick waist clip prob hold like design well traditional bannana clip style long snag hair spring super strong hold securly durre exercise class pose prob arthritis bit hard open attach overall love great value,5.0
worth price packaging nice want use gift,thick long coarse wavy hair straighten ten minute worth price packaging nice want use gift,5.0
cheap knockoff,do not recommend look good feel like eight month smooth cut buy two wish do not,2.0
can not remove stripe box,bad quality remove strip fron box bix come break,1.0
do not remove blackhead,okay do not remove blackhead like suppose,3.0
great price,great item price,5.0
fan,do not come neck tie extra length clip client thickness expect guess work petite people,3.0
want good brush lose,honestly cheapo plastic comb tooth space close exactly thing I ve static electricity plastic comb guess comb suppose prevent beard little long want good brush lose comb know would not miss,3.0
nope,would not dry go thick goopy bottle leak junk go garbage,1.0
natural hair press dupe,great natural look wig color compliment skin tone feature soft body wave style shape frame face,4.0
good small,great big price,4.0
do not waste money,suck impossible work hair,1.0
nice wig,wig worth buy soft bouncy look like photo dispaye,4.0
work toe,work toe,4.0
nice clean fragrance,excellent transaction nice clean fragrance smooth skin aaa,5.0
brush great,brush work perfectly good bristle hold hair hair finish smooth shiny,5.0
protect,handy travel,5.0
hair,see review people decide try do not know batch send time order hair be not head usually take bundle leave leave barely complete head three bundle closure,1.0
well,do not feel like original product slightly different material regular clean clear brand usually buy store,3.0
do not recommend horrible,two five starsi use half color palate one hundred and fifty cost beneficial buy single eyeshadow new blush quality ok great terrible brush good quality opinion,2.0
stunning color great quality silky human hair,stunning color great quality silky human hair purchase bundle half wig purchase wig sew braid clip in need sew weft close track thread fingerwidth apart quality hair thick little thinly space weft color exactly like picture ash brown blonde brassiness give star space hair weft purchase beautiful color shipping quicker,4.0
brake easy,break month,1.0
quede encantada con los resultados,muy fascinada con los resultados,4.0
fraude total,funciona dinero mal gastado,1.0
ok,ok strong smell brand buy long find,2.0
great job darken hair tint skin,great job darken hair tinting skin week wash face everyday,4.0
buy try,nice remember moisturize,4.0
star,love body shop product smell wonderful,5.0
star,good pricing product great job hair cut,5.0
do not buy,terrible bristle break soon,1.0
smell nice nope,smell nice do not eighteen month old sleep well long time,2.0
ship fast,thin held hair day stretch far use,3.0
moisturize little needed work,moisturizer couple week love leave skin feel smooth do not need apply lot thin layer apply lot leave face pretty greasy thin layer need do not rich smell normal lotion like smell actually make great close nose do not want strongly scented recommend,4.0
good product,nice wish wing big,4.0
look nice,shape look different picture give cousin look nice lipstick be not deep rich picture,3.0
useless,do not work curly hair blend smell nice do not hold hair hard loc hair buy,1.0
work,find bottle fit stand good,4.0
instruction sense,can not use able hair can not bun dresser,2.0
heck,mix correctly get red liquid feel rob late return guess suck,1.0
star,good,1.0
great,help calm frizz fly away beautifully,5.0
bad demi permanent I ve,know demi permanent do not long bad demi permanent I ve,2.0
work jar product go twelve stop work,do not work gull,1.0
meh good original buy,get exact product year ago work great buy they re iffy good pick hair ok do not clean slide holder find have slide holder seven time hair twenty - five hair leave fabric meh,3.0
sharp edge,floss fine love sustainable material edge flosser sharp poke time hurt need sharp,2.0
good size design,excellent size kit good design pocket small item like nail file band aids etc long comment durability appear,4.0
little blue brush comb trick look nice,bristle soft receive six brush different comb eyebrow overall nice starter replacement set small far height you re look lengthy brush think flapper cigarette holder be not color exact match picture overall pleased,4.0
like,like suppose frustrate automatically turn cord short,4.0
thank,color will not cone,1.0
star,describe,3.0
good quality super cute size way,good quality super cute size way get six hundred and twelve month six year old four year old fit worth do not baby,3.0
happy,cute color,1.0
star,stretch immediately,1.0
nice quality good fit great price,great look small thin headband hold new curly thick hair chemo color great fabric nicely wrap be not tight do not slip receive metal tooth bend probably stack shipping easy fix simply adjust tooth that s feature like scalp sensitive tooth do not touch scalp hold hair exactly look great overall issue lose star tooth do not way do not ear do not hold twenty - three inch hair rest price great steal band search good price ten happy great,4.0
double check size need picturereview,impression medium size work chihuahua mixed dog base chihuahua picture product picture boy wrong thing huge box clear list breed size would ve helpful include description I ve include picture type large bulldog german shepherd golden retriever husky labrador medium australian shepherd beagle border collie corgi english bulldog petite chihuahua maltese pomeranian shih tzu yorkie can not test dog try finger silicone soft feel comfortable entire thing easy apart clean take star silicone pretty strong chemical smell wash air dog especially sensitive skin microfiber cloth seriously softest thing haha,4.0
awesome comb,comb fantastic antistatic heat resistant like promise love tail material comb metal like previous comb make flatirone hair breeze,5.0
fast shipping work great,work advertise,4.0
star,cute good way remove nail polish,4.0
star,bulb work,2.0
easy use,stay day,5.0
convenient good sun protection nice smell,compact convenient way sunscreen onthego touch up sensitive skin eczema product have not cause irritation faint pleasant baby powder smell caveat leave white cast rub product thoroughly,4.0
star,clip slide dig neck,3.0
wonderful straightner worth price,awesome straightner daughter wavy hair straight pic,4.0
covid19 manicure,perfect stay safe attend nail salon nice set nail three week you re hard,5.0
you d think work mean they re mist sprayer right,order mist germinating sunflower seed soil moist mind come pack I ve far maybe that s come pack I m get stuck mean sprayer head press mist come get stuck stick press work fine twenty - five spray start get stick aggravating try move head take head get stuck oh pay guess,1.0
gorgeous green color curl bouncy,love emerald color wig receive lot compliment cut length one wig like wear,5.0
kinda disappoint,blend finger blend sponge look like straight line pretty,2.0
stink pretty wash use,describe hope head look pretty issue arrival smell terrible I m currently let sit acv water I m go use johnson johnson shampoo use aussie conditioner hopefully turn good wash curl long think straightening do not ok permanent,4.0
ok,do not expect powder form smell amazing container small price usually blend soap I m bathe,3.0
great product,love stuff sure difference skin,5.0
ehhh,work alright,3.0
work dry hair,work dry hair essentially airblow dry hair ninety way dry,3.0
work,work,5.0
go nice color amazing,easy go smooth color result amazing,5.0
patience,okay love palette sit cart long husband amazon prime get use couple time buy tip use glitter glue clean brush sure time pat product eye consistency like grain sand consistency let body heat melt product order turn smoothly issue whatsoever,4.0
need hone,cap loosen continuously leakage chemical inside,2.0
,skeptical go ahead purchase product time tickle like crazy use get fantastic job feel like foot clean I ve problem athlete foot number year I m convinced product aid healing,5.0
review quality,odd review write course two day,3.0
skin favorite soap,teenager face soap acne easily irritated skin thirteen soap ol reliable,5.0
clip in,hair arrive quick smell like fire wash smell do not come I m go to return would not recommend hair,1.0
wonderful scent,wonderful peach scent easy open apply last hour lip need reapply,4.0
lipliner,product ok do not stay long color similar refill like thirty - four time day depend weather eat sweat eyeliner come stay like eight hour do not sweat make eye burn sweat eyeliner melt dissolve melt mix sweat,3.0
great buy,need work I m braider comb work,5.0
think,excellent pore product do not work glow skin dirt toxin remove tell like regular clay mask remove,2.0
ok,smell good like product right price range like,3.0
star,good price do not expect well,4.0
small strap,do not buy amazon get item beauty supply store find prefer durag red kiss fit feel like strap shorter wide fit well head get little head work,5.0
pretty,love bottle sprayer order grove sprayer replace,3.0
terrible product lumpy difficult apply,terrible product lumpy difficult apply forgot return thirty day get stick I ve try microwave apply application bit easy worth time effort overall coconut oil well,1.0
buy,cap heavy heated microwave feel weird tingling will not,1.0
dry,want like dry dry like bathroom paper dry,2.0
great gift,get gift niece love animal face let know overall experience later scent unpleasant overwhelming,4.0
star,hot flash,5.0
ok,deliver quickly small look picture serve purpose cover hair shower do not want wash,3.0
star,surprisingly good expensive type grant eyelash glue maybe,4.0
hold hair need smoothing avoid hair damage,nearly waist length fine hair find pin stay challenge hold variety bun twist pin complaint major sharp residue end pin cut shocking hair small hole tip pin dip gold silver coating sharp edge come solve problem smooth dremel diamond sand bit,4.0
right package,okay do not receive pictured container good quality probably will not order want individual package,4.0
skin schnoz odd,heavily perfume use sting accustomed smell long overpower sting go away I m sure that s good thing acclimate house smell cigarette smoke instance negate presence odor merely lessen awareness three week notice skin appreciate oil opt stick olay product can not past strong scent product contain warrant potent aroma acceptable smell like additional scent,3.0
star,work advertise,4.0
perform advertise,mark go nicely pen quit work second stroke come,1.0
break lamp,eleven year old daughter excited end have store new lamp lamp break excited wait returnreplace purchase enjoy product want color,3.0
star,clip job I m crazy,4.0
demora para secar,lleva mucho tiempo para secar y es muy acuoso hay que pasar varias vece,3.0
work,good wish bit deep fit product,4.0
buy,impressed flimsy cheaply,1.0
love hair color,love hair color think hair do not problem come buy,5.0
star,bad,3.0
stiff,buy way stiff do not lay head properly make weird crimp one see far relaxed follow curve head actually bend like wire inside,1.0
light elce,work little receive charge work,1.0
buy,videoid5a7ce3ef7d5a36cc61bbd1cac9cec936 super cute light weight affordable ask lash think get worth one hundred be not uncomfortable,5.0
great product,love get wrong color,5.0
silkysmooth,pretty color look like dusty pink show feel smooth silky do not definitely need three color choose,4.0
good value,soft soap favorite scent hard find store happy find amazon pack,5.0
like,like product dry gel nail use regular nail polish take long dry,4.0
easy breathe,easy breath clean long period thing like ear holder hard soft,4.0
scent discontinue bath body work,believe scent bath body work discontinue happy find bundle three available amazon,5.0
love hair,tangle little love hair definitely order,4.0
expect,make nail peel one week do not know,2.0
good shiny copper barstock useful size,barstock arrive wrap multiple layer design reduce dent scratch etc copper barstock difficult obtain mill length generally twenty foot long pleased package looked deliver gyration cost copper price reasonable cut length,5.0
beautiful,beautiful wiglook naturalgorgeous colorlot compliment surely purchase,5.0
present,mit selection product payment come single set cheap rubber glove try return unable ok good go spray tan salon single spray tan salon last seven hundred and ten product barely last twenty - three day difficult apply,1.0
good quality long eyelash,good pricequality ratio long eyelash easy remove wear day crumble eye have not test waterptoofness hope work pleasantly suprise,5.0
do not work,I ve nair product do not work,1.0
huge disappointment,everyday shower nine day straight two three night sock till morning do not difference regular vaseline vitamin e oil well job soothe dryness healing crack do not waste,1.0
have not arrive today,have not arrive today pelicula,1.0
good wave builder,product help wave,2.0
good liner green,dustiest green I ve see like outer tube pretty grey,2.0
star,runny sure work product,1.0
recommend product,work state wear men size 13 m recommend product,5.0
ogilve home perm kit three box,box good condition content ok box open item,2.0
great sex great value,love set sized liner face well sex sized color gorgeous kat devotion highly pigment black great lining collection let deal great recommend,4.0
star,high price plastic elegant,1.0
poor quality do not waste,color what s picture poor quality do not waste money,1.0
star,hard know work apply two could not tell,3.0
unfortunately good product neutrogena,get foundation scrub use ton worthless mascara eyebrow ill stick face wipe,2.0
great product,like product rosacea think breakout bad teen twenty consider nearly eighty have skin improve,1.0
finally bath pillow work,I ve try five bath pillow discover give find work order bath relate christmas present suggest I m glad take chance add cart comfortable suction cup keep pillow place,5.0
foryourhair pullhair thua braid,thin weak hard useas hair stylist werestronger,3.0
job,efficient frill reliable trimmer,3.0
super curl like flat iron,work wavy hairalmost straight hair super curl like flat iron,2.0
charge long,charge epilator operate hour begin product charge gradually lose length time operate happen rechargeable product like shape shaver way epilate part place feel terrific job having recharge way usually finish area want work,4.0
unimpressed,practical wig unable create natural hair line wig placement hairline natural hair pull,2.0
work wonder,struggle cluster cystic acne chin month try work I ve six week painful cystic acne go dry matter week I ve maintenance point sure active ingredient definitely work skin sensitive I m able use day night start day sure use spf day,5.0
recieve four color waste money,recieve four color joke ill maybe use two nail polish recieve worth money,2.0
star,good,5.0
frustrate cheap,cheap rubber band purchase rubber band break second put frustrating use I m one year old trash waste money recommend waste money,1.0
good,good,3.0
okay,hair okay kinda look jheri curl especially wet like spray curl activator shed fold track cut mat overnight sleep satin cap wet matting release dry matter product try can not shine long end day look dull crunchy do not think long probably installation get frizzy day finger throught tangle look frizzy dry certain area worse strong odor arrive wash time have not notice odor installation would not buy do not like tightly curledfrizzy like look look exactly like picture whenyou pack install night sleep day worth styling curl def uniform bundle hear last installation sure I d okay eighty - two install like do not wear weave time,3.0
hard use do not stay,hard transfer nail do not stay,1.0
like feel look,like feel look love have matte screen scratch week difficult center properly lip hang edge curve screen do not think i d buy,2.0
like,contour amazingly highlight stick like cream use concealer buying,5.0
awesome,amazing can not wait try feel like great quality tattoo cute recommend great stylish look,5.0
waste money,bad do not lather wash lash twice coz time do not feel like,1.0
poor quality recommend,second purchase item elasticity band bonnet break contact manufacturer silk bonnet request replacement unwilling send replacement bonnet defective disappointed customer service like product purchase thing happen elasticity band break unable use bonnet upset purchase item twice time elasticity band break recommend purchase item poor quality defective product,1.0
star,love product recommend love bun,4.0
excelente,excelente shampoo y el servicio y envoltura muy segura para q se dane o rompa en el camino excelente servicio y muy rapido,5.0
waste money,work,2.0
messy,love cream like sweat trainer need help burn fat help enhance sweat help add water like work jar note messy prefer stick formula prefer easy rub,4.0
break,braclet break withen week disappoint love beautiful amazing design thank,1.0
star,cheap broken arrival,2.0
easy use convenient,usenthis product daughter hair mine love,5.0
great product,love handle product chew easy handle,5.0
advertise,soft absorbent,5.0
good,good shaving soap,5.0
happy,do not fit neck way wide,1.0
need well care put sell,thing fall apart wear whomever put do not try material stick wrap rubber band band material wear eventually toss trash second set,1.0
find opening package,great coat base coat spill packaging I m sure left,3.0
look like trick,face shield be not completely smooth good,4.0
love,love stuff,5.0
ok,pigment take three voat last pretty long,3.0
great nail supply,love container i m jamberry independent consultant nail tool mini heater file scissor etc nail lacquer polish trushine gel system item fit container heater gel lamp scissor file emory board alcohol wipe buffer compartment middle lacquer wrap remover tool sanitizer tool kit nail prep solution polish lacquer plenty room makartt nail polish stencil foam insert slot size round bottle jamberry polish fit can not use irregular shaped bottle do not fit ill wait till replace old polish jamberry bottle want use foam insert downside wish middle compartment pullout drawer middle,4.0
star,ok,3.0
work,lamp work great receive nail clip order promise,3.0
purchase fifteen ninety - nine twelve fifty,picture seamed middle small measurement list small,3.0
good halloween,look ridiculous wear public,2.0
crap,short bad quality need quickly bday party ill replace well eventually,2.0
totally bum,love totally tubular mascara order usual height recieve real totally totally bummed do not time send new vacation,4.0
read detail product buy,expect water stuff come tub mess cleaning water go,1.0
sensitive skin,face break use,1.0
